id,person_id,family_id
335,62,0
172,62,0
865,,
866,84,
867,,
125,62,0
134,62,0
869,,7
872,39,
173,62,0
375,62,0
895,123,
897,,
898,,
1066,,
957,,156
1067,899,
1068,,282
968,,127
969,76,
970,75,
1080,,
1072,,36
886,359,
887,,100
888,,
889,360,
890,189,
891,189,
892,,
893,,
894,572,
815,28,0
1073,,
1071,,69
1081,,
1100,165,
1101,,
1076,,118
958,873,
896,68,
1077,,
1078,100,
1079,,
1082,,117
1084,,
1085,,286
1086,,
1087,,
1089,,
1093,,
1092,,
1094,,
1070,901,
1075,901,
1095,901,
1096,424,
1097,,
1098,420,
1102,,
1103,862,
1104,168,
1105,915,
1106,914,
1107,,
1108,,
393,62,0
404,70,0
713,71,0
76,36,0
1074,,
707,300,0
798,250,0
1088,,
585,62,0
586,62,0
1091,859,
1069,,264
470,182,0
710,251,0
959,860,
868,859,
574,76,0
1099,,
730,217,0
870,111,
871,,
873,420,
665,597,0
711,218,0
729,70,0
402,79,0
171,75,0
731,230,0
899,68,
242,75,0
386,80,0
392,104,0
252,104,0
1140,81,0
190,79,0
609,84,0
179,80,0
391,83,0
274,81,0
336,73,0
423,80,0
971,342,
209,103,0
431,84,0
972,,
176,81,0
973,,
974,,
975,,
511,30,0
284,0,0
703,568,0
747,93,0
540,428,0
189,0,0
196,0,0
410,0,0
332,0,0
553,0,0
236,79,0
110,81,0
550,81,0
581,80,0
388,79,0
211,82,0
255,84,0
338,78,0
341,77,0
476,181,0
874,72,
36,84,0
875,,
827,146,0
477,181,0
253,104,0
619,104,0
210,80,0
53,81,0
845,104,
900,,180
108,81,0
275,75,0
828,146,0
901,,
214,81,0
613,103,0
239,79,0
390,83,0
406,81,0
339,76,0
876,422,
1109,128,0
385,81,0
877,,27
575,80,0
219,75,0
273,81,0
878,,
213,81,0
324,81,0
669,81,0
146,84,0
278,79,0
192,80,0
424,103,0
903,,
193,81,0
621,79,0
279,79,0
904,,
905,,
608,80,0
237,79,0
243,80,0
376,79,0
702,566,0
154,32,0
63,79,0
373,80,0
238,75,0
374,75,0
907,,182
387,80,0
906,,182
960,573,
961,570,
962,,
963,,
964,,
965,,
966,873,
976,548,
977,,
978,,
145,83,0
570,104,0
409,83,0
240,79,0
212,104,0
612,81,0
422,83,0
588,103,0
389,82,0
256,83,0
186,80,0
825,81,0
475,181,0
217,75,0
140,26,0
144,83,0
564,84,0
181,79,0
310,10,0
340,75,0
43,81,0
191,75,0
879,,
216,78,0
647,117,0
305,170,0
297,23,0
318,24,0
115,107,0
693,508,0
323,4,0
294,25,0
821,864,
304,173,0
299,114,0
631,125,0
122,111,0
437,106,0
62,15,0
222,23,0
880,,265
881,229,
583,15,0
882,231,
439,120,0
883,,
908,,
800,21,0
909,,
910,,
911,466,
912,846,
358,24,0
321,106,0
164,7,0
450,108,0
913,464,
290,4,0
914,471,
915,,
916,,
967,,129
153,32,0
666,319,0
756,0,0
744,0,0
979,558,
980,558,
981,558,
982,557,
983,549,
984,556,
560,508,0
306,23,0
547,508,0
438,106,0
527,24,0
917,472,
682,119,0
289,20,0
436,106,0
309,13,0
516,172,0
292,27,0
918,473,
919,578,
490,133,0
86,106,0
884,,
494,12,0
158,121,0
986,546,
113,105,0
22,24,0
360,24,0
91,27,0
770,106,0
987,552,
652,191,0
84,108,0
433,106,0
862,171,
667,578,0
88,27,0
118,114,0
303,14,0
861,,117
495,173,0
293,27,0
155,17,0
434,108,0
507,10,0
308,14,0
163,122,0
587,27,0
509,14,0
691,120,0
300,15,0
307,11,0
105,25,0
159,122,0
21,108,0
72,27,0
97,122,0
641,23,0
790,106,0
689,120,0
692,,263
510,13,0
301,18,0
769,110,0
985,546,
988,,
114,108,0
989,,146
156,31,0
754,0,0
755,0,0
415,118,0
741,98,0
506,13,0
813,855,0
322,87,0
131,27,0
295,107,0
302,172,0
504,11,0
991,,
228,24,0
298,24,0
920,96,
522,107,0
432,110,0
508,14,0
132,24,0
992,,
690,120,0
489,111,
993,554,
96,8,0
169,23,0
1123,128,0
994,,
995,364,
996,362,
319,114,0
998,,
160,123,0
435,105,0
640,111,0
121,127,0
634,114,0
999,,103
633,106,0
442,27,0
997,,
1000,363,
1001,99,
288,23,0
317,23,0
170,24,0
440,108,0
529,118,0
85,107,0
143,116,0
223,0,0
505,176,0
234,0,0
129,36,0
1002,,
247,86,0
1003,,
1004,,
659,188,0
426,85,0
807,842,0
151,86,0
407,85,0
990,554,
1005,729,
1006,366,
672,0,0
1007,729,
686,0,156
902,,269
512,0,0
40,86,0
623,85,0
528,38,0
101,40,0
486,86,0
700,565,0
25,37,0
359,36,0
1,85,
852,855,
675,38,0
73,39,0
820,860,
168,37,0
218,86,0
13,86,0
566,86,0
824,859,0
921,865,
149,85,0
922,842,
197,85,0
245,36,0
789,38,0
593,36,0
1124,0,261
1008,288,
771,37,0
220,85,0
1009,291,
259,86,0
249,85,0
135,36,0
834,86,0
520,37,0
526,37,0
1045,,
3,85,
597,36,0
87,36,0
107,86,0
325,85,0
493,40,0
1049,648,
530,85,0
1011,289,
33,85,0
670,464,0
584,37,0
109,86,0
51,86,0
524,36,0
743,92,0
602,36,0
1047,717,
709,674,0
708,672,0
572,342,0
765,347,0
1051,717,
863,549,
787,88,0
573,546,0
1050,,
334,85,0
441,39,0
34,86,0
81,37,0
32,36,0
778,40,0
521,38,0
79,36,0
923,318,
90,37,
78,36,0
603,86,0
150,85,0
408,86,0
823,859,0
100,37,0
1012,556,
250,85,0
55,0,24
260,86,0
248,85,0
244,85,0
1046,71,
74,40,0
104,36,0
246,86,0
615,86,0
69,30,0
763,312,0
752,185,0
546,310,0
757,333,0
796,499,0
704,567,0
42,0,24
44,0,0
835,,87
844,,24
207,0,0
485,0,16
372,0,15
206,0,0
925,,165
514,0,0
837,,87
616,0,87
371,0,15
120,0,36
926,,22
748,0,241
846,,
162,0,31
26,0,26
822,,264
642,0,36
1125,860,0
842,,24
924,,
658,572,0
61,0,5
1113,0,159
674,547,0
19,0,25
611,296,0
59,0,31
413,0,30
806,848,0
251,0,17
758,710,0
8,0,17
749,0,0
111,0,17
70,0,7
795,0,0
864,,164
333,0,0
519,0,8
380,0,0
826,,261
16,0,0
6,0,17
473,0,0
622,0,0
856,,
785,0,0
15,0,0
268,0,0
836,,
679,0,0
50,0,0
272,0,0
567,0,0
472,0,0
839,,
625,0,0
194,0,0
283,0,19
629,99,0
630,551,0
740,715,0
671,0,0
678,500,0
927,95,
928,94,
929,,
930,,
931,97,
932,195,
933,,266
1010,,
1013,,267
1017,876,
1018,288,
1019,291,
695,112,0
681,189,0
350,0,0
342,0,0
348,0,0
174,0,0
175,0,0
1058,,
934,,
935,,
936,120,
1059,36,
937,,
938,108,
939,108,
1126,859,0
1060,,
1053,328,
1055,,
1056,328,
1063,,176
1064,,
654,192,0
712,358,0
673,548,0
544,498,0
805,847,0
545,499,0
656,467,0
680,575,0
542,344,0
701,577,0
668,0,179
655,463,0
739,744,0
565,350,0
1014,,267
1015,,
1016,875,
706,0,0
403,0,0
429,0,0
940,112,
941,,
942,,
1020,,189
1021,676,
1022,698,
1023,,189
1024,698,
1025,699,
1061,,
1062,81,
1065,86,
483,0,0
346,0,0
347,0,0
384,0,0
399,0,0
356,0,0
182,0,0
1127,0,0
480,0,0
857,,
766,0,0
264,0,0
767,0,0
601,0,0
773,0,0
355,0,0
551,0,0
943,,262
944,,262
627,0,0
945,861,
946,,
47,0,0
276,0,0
577,0,0
148,0,0
947,,
948,106,
28,0,0
262,0,0
949,,
204,0,0
1026,672,
1027,673,
200,0,0
257,0,0
270,0,0
576,0,0
579,0,0
398,0,0
1116,581,0
277,0,0
261,0,0
614,296,0
624,296,0
57,0,0
397,0,0
481,0,0
345,0,0
354,0,0
578,0,0
568,0,0
552,0,87
381,0,0
349,0,0
188,0,0
382,0,0
592,0,0
484,0,0
428,0,0
353,0,0
569,0,0
185,0,0
950,188,
271,0,0
1028,,216
617,0,0
427,0,0
1030,741,
1029,744,
1031,,216
184,0,
478,0,0
1032,745,
394,0,0
199,0,0
1033,,268
38,0,0
198,0,0
717,0,16
618,0,0
383,0,0
799,0,16
29,0,0
343,0,0
517,0,0
263,0,0
357,0,0
202,0,0
205,0,0
482,0,0
479,0,0
351,0,0
561,0,0
580,0,0
352,0,0
187,0,0
425,0,0
951,,
843,,
714,0,0
952,82,
269,0,0
953,,
954,,
955,,
956,,
378,0,0
254,0,0
1034,877,
201,0,0
1035,878,
178,0,0
1131,898,0
471,0,0
396,0,0
1036,746,
344,0,0
395,0,0
221,0,0
147,0,0
106,0,0
227,0,0
311,0,0
802,0,0
138,0,0
312,0,0
452,0,0
444,0,0
455,0,0
636,0,0
370,0,0
801,0,0
651,0,0
99,0,0
94,0,0
313,0,0
362,0,0
77,0,0
474,0,0
119,0,0
95,0,0
329,0,0
454,0,0
885,30,
23,0,0
751,185,0
20,0,0
850,,
462,0,0
330,0,0
464,0,0
860,,
417,0,0
538,0,0
792,0,0
58,0,0
832,,0
137,0,0
117,0,0
786,0,0
1037,353,
364,0,0
136,0,0
1038,563,
500,0,0
1039,562,
1040,561,
1041,577,
1042,,
363,0,0
281,0,0
632,0,0
230,0,0
676,0,0
446,0,0
60,0,0
165,0,38
93,0,0
327,0,0
229,0,0
639,0,0
447,0,0
499,0,0
498,0,0
367,0,0
166,0,0
534,0,0
316,0,0
291,0,0
112,0,0
559,0,0
645,0,0
788,0,0
694,0,64
849,,
17,0,0
501,0,0
282,0,0
224,0,0
859,,
161,0,0
157,0,0
589,0,0
366,0,0
421,0,0
557,0,64
296,0,0
448,0,0
491,0,0
326,0,0
18,0,0
98,0,0
41,0,0
626,0,0
203,0,0
841,,
848,,
840,,
258,0,0
416,0,0
653,0,0
638,0,0
232,0,0
643,0,0
195,0,0
803,0,0
116,0,0
536,0,0
457,0,0
445,0,0
1043,,
64,0,0
607,0,0
235,0,0
130,0,0
49,0,36
128,0,0
727,0,0
459,0,0
418,0,0
1044,872,
102,0,0
141,0,0
467,0,0
315,0,0
280,0,0
606,0,0
599,0,0
123,0,0
92,0,0
453,0,0
808,0,164
664,0,176
648,0,0
809,0,261
781,0,0
419,0,0
314,0,0
683,0,0
54,0,0
685,0,0
854,,
595,0,0
663,0,176
208,0,0
46,0,0
368,0,0
48,0,0
83,0,0
851,,
30,0,0
590,0,0
650,0,0
628,0,0
468,0,0
677,0,0
265,0,0
233,0,0
768,0,0
225,0,0
780,0,176
829,,0
831,,0
811,0,261
793,0,0
449,0,0
596,0,0
124,0,0
605,0,0
604,0,0
152,0,0
469,0,0
67,0,0
532,0,0
461,0,0
555,0,0
838,,
661,0,176
11,0,0
554,0,0
39,0,0
537,0,0
226,0,0
662,0,176
369,0,0
14,0,0
241,0,0
598,0,0
465,0,0
812,0,0
600,0,0
649,0,0
89,0,0
779,0,8
35,0,0
52,0,0
460,0,0
635,0,0
37,0,0
285,0,0
591,0,0
287,0,0
684,0,0
139,0,0
582,0,0
783,0,0
594,0,0
637,0,0
420,0,0
443,0,0
853,,
331,0,0
167,0,0
794,0,0
411,0,0
24,0,0
746,0,0
535,0,0
696,0,0
458,0,0
231,0,0
697,0,0
463,0,0
328,0,0
533,0,0
267,0,0
847,,
286,0,0
830,,0
266,0,0
742,0,0
657,0,0
571,0,0
492,0,0
646,0,0
764,0,0
466,0,0
456,0,0
133,0,0
68,0,0
127,37,0
687,574,0
688,573,0
705,21,0
82,36,0
759,0,0
734,554,0
735,558,0
762,322,0
737,501,0
736,556,0
733,0,0
760,321,0
833,81,0
502,43,0
503,52,0
515,44,0
497,424,0
513,83,0
620,82,0
556,84,0
377,81,0
523,109,0
27,81,0
496,423,0
525,110,0
518,171,0
531,133,0
451,120,0
401,0,64
414,221,0
487,296,0
488,109,0
548,296,0
549,0,0
562,569,0
660,648,0
610,296,0
644,109,0
699,564,0
772,808,0
777,809,0
774,134,0
775,64,0
776,66,0
142,24,0
71,0,33
791,0,176
1114,0,256
1118,880,0
1112,0,158
1115,582,0
1111,349,0
1117,844,0
1110,322,0
1119,341,0
1120,181,0
1121,0,299
1129,0,0
1128,0,0
1130,855,0
1132,895,0
1133,0,170
1134,83,0
430,83,0
1135,0,16
1136,420,0
1137,0,0
1138,0,0
1139,0,0
1141,189,0
1142,187,0
1143,187,0
1144,187,0
1145,185,0
1146,188,0
1147,188,0
1148,188,0
1149,188,0
1150,50,0
1151,0,0
1152,68,0
1166,0,303
1153,0,261
1154,937,0
1122,937,0
1155,0,302
1156,61,0
337,61,0
1157,36,0
1158,947,0
1159,0,264
1160,901,0
1161,0,303
1162,948,0
1163,86,0
1164,85,0
1165,0,0
1167,0,261
855,,261
1168,0,303
1169,0,0
1170,0,87
1171,0,0
1172,170,0
1173,0,20
1174,185,0
1175,170,0
1177,0,301
1176,71,0
1178,0,0
1179,860,0
1090,860,
1180,859,0
1181,81,0
1182,296,0
1183,0,0
1184,0,0
1185,0,264
1187,0,0
1188,0,243
1083,,243
1189,23,0
1190,61,0
1191,62,0
1192,59,0
1193,72,0
1186,0,0
1194,0,307
1195,0,307
1196,962,0
