id,family_id
429,
119,30
871,182
121,
85,17
81,15
430,
169,123
866,123
867,123
872,182
868,123
771,
133,37
894,
718,200
14,3
935,0
21,4
69,13
230,73
231,73
901,264
902,118
896,
897,284
904,288
899,284
903,
912,286
869,
689,193
654,179
343,96
19,4
20,4
898,284
104,24
942,301
873,156
184,58
31,6
33,6
914,
35,
36,7
37,7
38,70
39,8
40,8
770,
108,25
43,9
44,9
45,9
111,26
134,
201,
110,63
75,14
112,27
16,0
913,286
46,9
205,63
859,261
910,
68,
48,9
49,9
781,234
163,50
520,141
540,140
719,
541,140
542,140
584,160
607,
60,11
530,
543,
594,
609,
162,
120,30
161,18
165,38
616,
640,
641,174
679,
34,6
765,
642,174
650,177
311,
2,
11,0
128,32
440,120
643,
70,13
71,13
326,93
622,0
355,
117,168
207,65
168,39
106,25
76,14
79,15
80,15
82,48
400,111
84,16
87,18
88,
90,19
91,20
92,20
89,19
94,21
96,91
97,91
98,
895,283
95,
664,183
665,183
905,
611,166
587,160
915,291
621,169
113,57
114,28
116,
167,39
860,261
450,114
936,300
947,264
877,
691,
99,23
100,23
103,
105,45
170,53
631,172
632,172
633,172
175,18
635,172
778,
784,
179,
351,98
829,
185,20
475,126
830,
753,
754,
777,
782,
764,
906,
908,290
188,59
189,59
191,60
166,39
861,
670,185
365,
946,0
452,
891,282
892,282
204,
812,80
813,80
196,21
501,
195,21
236,75
220,
907,289
226,
909,
234,74
235,74
219,
203,
783,
527,109
529,109
556,146
882,
217,69
797,240
186,
61,11
937,262
312,90
83,16
29,90
940,130
468,
341,190
863,
864,263
296,
862,
890,
206,
208,65
209,65
210,
211,
212,67
213,67
214,
215,68
874,
77,14
911,
282,
288,
187,59
291,84
289,84
875,267
876,267
309,6
313,90
314,90
315,90
316,90
317,90
318,
320,92
321,92
322,92
323,92
325,93
346,97
193,
74,86
6,2
329,93
8,2
698,189
344,96
12,3
63,
64,12
65,12
66,12
67,12
330,
331,94
332,94
333,94
334,94
335,94
336,119
337,95
338,95
339,95
340,95
27,5
342,96
345,
328,93
348,97
350,98
366,103
352,98
362,
363,101
878,268
879,268
359,100
360,100
354,
361,
941,0
570,
563,150
562,150
420,116
422,
409,
408,
428,18
431,119
432,119
434,120
435,120
433,
437,120
438,120
439,120
442,121
571,
443,121
444,121
445,121
446,121
449,114
476,0
451,114
466,127
115,28
24,5
26,5
402,111
461,
677,
469,128
470,128
453,
164,50
508,64
662,
870,
561,
498,
500,136
507,
499,136
889,
546,137
510,139
547,137
548,137
549,
551,
557,148
558,148
552,146
554,146
564,
566,
568,152
572,154
573,154
574,
577,151
147,0
550,
559,
15,3
576,
565,151
567,152
560,
880,158
726,203
608,
648,
725,203
881,203
724,203
656,180
657,180
819,172
838,255
655,
668,185
669,185
671,
636,
637,173
638,173
660,181
661,181
649,
651,
663,
666,
639,173
672,
683,
686,192
676,
681,191
684,192
690,193
685,192
131,
652,
674,187
682,191
678,
805,243
673,187
675,
680,191
687,
699,189
839,255
712,199
708,198
707,
709,198
710,
713,199
720,201
721,201
715,200
723,
745,216
746,216
744,
804,
802,242
803,242
796,240
798,240
799,240
801,
521,141
846,256
810,80
811,80
806,243
820,
824,4
842,164
847,
848,257
816,247
817,247
818,247
840,255
13,3
865,164
858,184
290,84
25,5
1,3
93,
4,1
821,248
822,248
51,76
58,11
122,31
125,29
216,
218,69
233,75
239,76
240,76
241,76
242,76
243,76
174,1
244,76
245,76
943,301
50,78
836,254
22,4
41,81
42,89
123,31
52,10
53,10
56,10
57,10
59,11
124,31
126,29
401,111
129,32
130,
426,118
136,41
137,41
138,41
139,41
148,44
149,44
399,
427,118
585,160
421,116
146,0
5,
54,10
944,301
171,53
172,53
173,53
176,
192,60
222,53
224,71
225,71
228,
198,62
197,62
247,77
248,77
249,77
253,78
653,179
229,73
265,79
274,81
275,81
276,81
277,81
278,81
279,81
280,81
281,81
287,10
297,81
298,
299,88
300,88
301,88
302,88
303,88
306,89
307,89
308,89
370,86
371,86
372,86
374,105
375,105
377,106
378,105
379,105
384,107
385,107
386,107
404,112
857,184
405,112
406,112
407,112
411,115
412,115
413,115
414,115
415,115
416,115
417,115
418,115
423,117
424,117
458,125
459,125
460,125
511,139
514,140
517,141
519,141
627,171
591,161
593,161
595,162
596,162
597,162
598,162
599,162
605,163
606,163
729,103
758,233
762,62
761,62
626,171
634,172
856,184
586,160
588,160
589,160
592,161
601,163
602,163
603,163
604,163
735,223
286,83
283,145
284,
285,83
667,
544,214
177,55
545,
701,195
730,
700,195
702,195
731,
734,250
737,220
738,228
739,230
748,
752,222
756,232
757,227
581,159
759,226
760,249
766,
767,
252,78
768,231
779,
780,235
825,
826,
827,251
828,252
755,
769,
775,
776,
832,
272,107
380,
381,211
474,126
472,129
711,199
364,102
473,129
531,142
477,
578,129
831,
732,
733,
356,100
357,100
582,159
844,158
32,
102,
358,100
945,301
515,0
310,194
319,
704,212
736,
740,
237,132
695,194
367,
368,
454,
455,
304,
305,
389,132
390,134
391,133
392,109
485,138
238,143
694,194
486,
692,
488,
489,149
496,258
503,134
504,134
505,134
506,
150,
497,
716,200
850,287
502,134
491,
851,
703,213
538,143
852,
523,138
490,135
534,142
535,142
536,142
537,142
524,138
526,138
849,259
293,172
613,167
614,167
615,167
741,215
742,215
743,215
250,83
251,80
151,
152,
268,210
269,195
270,80
612,
271,80
273,104
382,107
383,107
697,196
464,127
55,10
47,9
347,97
785,
786,
462,126
463,
160,
180,
190,
467,127
471,
717,201
539,143
630,172
465,127
353,98
255,78
256,78
257,78
258,78
259,78
260,78
261,78
262,78
263,78
266,78
267,78
628,
625,
629,
814,80
610,166
580,
579,
132,
9,
154,45
457,
835,
109,122
118,
135,
140,41
141,41
142,41
143,41
144,41
145,41
156,
157,
158,48
159,48
194,61
202,
221,70
227,
246,
264,
369,86
436,120
441,
447,121
448,92
324,
425,
396,
809,
153,45
155,
178,
223,
232,
292,
295,45
373,
376,
393,47
394,47
395,47
403,
410,
456,
509,
512,
583,
617,
619,
620,169
623,168
624,168
795,
800,
807,
659,
590,
600,
518,141
522,141
808,
419,0
837,
696,197
705,219
706,217
747,218
749,
750,
751,221
845,
815,
833,
327,93
349,0
127,0
938,130
294,292
926,0
919,292
920,292
855,0
917,293
918,292
916,294
922,298
929,0
927,0
924,296
930,0
28,119
928,0
925,0
923,295
932,0
921,297
931,0
78,14
181,0
62,11
7,0
934,299
933,0
73,175
10,0
17,0
23,5
182,58
714,
939,130
575,155
30,6
948,0
107,25
18,4
72,13
957,0
398,110
86,17
949,299
950,299
951,299
952,0
953,304
954,304
955,304
956,304
397,110
958,305
959,305
960,0
961,306
183,58
962,0
763,0
200,225
199,62
